,fmax,copy_rate,copy_avg_time,copy_min_time,copy_max_time,scale_rate,scale_avg_time,scale_min_time,scale_max_time,add_rate,add_avg_time,add_min_time,add_max_time,triad_rate,triad_avg_time,triad_min_time,triad_max_time,pciw_rate,pciw_avg_time,pciw_min_time,pciw_max_time,pcir_rate,pcir_avg_time,pcir_min_time,pcir_max_time
18-1-1_ni,393.7,32698.4,0.024473,0.024466,0.024501,32709.2,0.02446,0.024458,0.024464,49065.8,0.02446,0.024457,0.024463,49073.9,0.024457,0.024453,0.024461,6331.6,0.18962,0.189526,0.189685,5729.0,0.209544,0.209462,0.209616
19-3_pac-stratix-10_ni,369.41,29343.9,0.027291,0.027263,0.027355,28198.9,0.028412,0.02837,0.028437,42269.9,0.028456,0.028389,0.028762,41865.9,0.028708,0.028663,0.028772,8741.7,0.162928,0.137273,0.203869,7372.3,0.188066,0.162771,0.235929
19-2_ni,414.76,32940.7,0.02429,0.024286,0.024293,32947.9,0.024283,0.024281,0.024287,49429.6,0.02428,0.024277,0.024283,49435.9,0.024276,0.024274,0.024278,6308.3,0.190315,0.190225,0.190381,6405.0,0.187435,0.187354,0.187497
18-1-1,409.66,45078.2,0.018597,0.017747,0.018708,45103.7,0.017952,0.017737,0.018701,39154.3,0.030651,0.030648,0.030654,39151.8,0.030652,0.03065,0.030655,6329.1,0.189651,0.189602,0.189687,5570.5,0.215495,0.21542,0.21556
19-1,373.41,40891.6,0.02039,0.019564,0.020631,40904.1,0.019794,0.019558,0.020615,35492.3,0.033811,0.03381,0.033813,35492.6,0.033811,0.03381,0.033813,6310.6,0.190203,0.190156,0.190256,6298.9,0.190569,0.190509,0.190685
19-3,396.82,43838.5,0.01847,0.018249,0.01924,43837.9,0.019124,0.018249,0.019237,38048.2,0.03154,0.031539,0.031542,38047.0,0.031541,0.03154,0.031543,6307.6,0.190395,0.190247,0.190529,6303.1,0.190447,0.190383,0.190531
19-2,467.28,51543.7,0.015801,0.015521,0.016365,50324.6,0.016141,0.015897,0.016349,44756.0,0.026813,0.026812,0.026814,44756.0,0.026813,0.026812,0.026813,6323.0,0.189847,0.189783,0.189911,6391.7,0.187805,0.187743,0.187885
19-3_pac-stratix-10,364.29,40166.7,0.020542,0.019917,0.02106,40176.8,0.020525,0.019912,0.021031,34861.5,0.034467,0.034422,0.034485,34874.5,0.034457,0.034409,0.034486,8893.1,0.135148,0.134936,0.135339,7517.3,0.15982,0.159631,0.160311
19-1_ni,373.41,31997.4,0.025005,0.025002,0.02501,32000.2,0.025003,0.025,0.025006,48009.9,0.024998,0.024995,0.025001,47996.2,0.025008,0.025002,0.025016,6311.2,0.190176,0.190138,0.190256,6404.5,0.187427,0.187369,0.187523
19-3_ni,361.79,31785.3,0.025172,0.025169,0.025174,31788.9,0.025169,0.025166,0.025173,47691.0,0.025164,0.025162,0.025167,47679.7,0.02517,0.025168,0.025171,6306.2,0.19041,0.190289,0.190479,6404.2,0.187424,0.187377,0.187484
