,fmax,copy_rate,copy_avg_time,copy_min_time,copy_max_time,scale_rate,scale_avg_time,scale_min_time,scale_max_time,add_rate,add_avg_time,add_min_time,add_max_time,triad_rate,triad_avg_time,triad_min_time,triad_max_time,pciw_rate,pciw_avg_time,pciw_min_time,pciw_max_time,pcir_rate,pcir_avg_time,pcir_min_time,pcir_max_time
18-0-1_ni,348.79,31119.9,0.025712,0.025707,0.025716,31213.4,0.02564,0.02563,0.025652,46707.2,0.025705,0.025692,0.025718,46831.0,0.025634,0.025624,0.025645,6322.6,0.189834,0.189796,0.189907,3771.0,0.318305,0.318222,0.318372
18-1-1_ni,338.63,32108.0,0.024926,0.024916,0.024937,32122.1,0.024912,0.024905,0.024925,48175.3,0.024913,0.024909,0.02492,48220.1,0.024897,0.024886,0.024906,6326.2,0.189774,0.189687,0.189906,5730.6,0.20946,0.209402,0.209591
17-1-2*_aria-10,315.85,15612.5,0.05126,0.051241,0.051291,32520.3,0.024654,0.0246,0.024689,23581.6,0.051006,0.050887,0.051087,23516.1,0.05106,0.051029,0.051139,6408.7,0.188771,0.187246,0.191645,6373.6,0.191591,0.188277,0.195962
19-2_ni,362.58,33162.1,0.024133,0.024124,0.024139,33111.4,0.024171,0.024161,0.024176,49757.4,0.024126,0.024117,0.024132,49472.3,0.024263,0.024256,0.024268,6319.0,0.189989,0.189902,0.190059,6405.0,0.187421,0.187355,0.187522
19-3_pac-stratix10,254.0,31692.2,0.025302,0.025243,0.025351,31694.3,0.025305,0.025241,0.025341,47543.7,0.025298,0.02524,0.025338,47532.5,0.025305,0.025246,0.025347,8931.8,0.134656,0.134352,0.134971,7535.7,0.159409,0.159241,0.15972
18-1-1,260.82,33218.3,0.024086,0.024083,0.024092,33226.8,0.02408,0.024077,0.024085,49249.2,0.024374,0.024366,0.02438,48108.1,0.024952,0.024944,0.024959,6326.8,0.18974,0.18967,0.189814,5397.1,0.222387,0.222343,0.222454
19-3_pac-stratix10_ni,320.92,29106.6,0.027511,0.027485,0.027536,28046.6,0.028585,0.028524,0.028629,42072.8,0.028547,0.028522,0.028612,42047.8,0.028587,0.028539,0.028631,8638.0,0.167112,0.138921,0.208923,7285.5,0.193966,0.16471,0.241611
19-1,266.8,34084.4,0.023472,0.023471,0.023474,34092.1,0.023467,0.023466,0.023468,50331.1,0.023843,0.023842,0.023847,48379.1,0.024808,0.024804,0.02481,6320.5,0.189925,0.18986,0.19003,6308.9,0.190234,0.190206,0.190309
19-3,254.0,32468.7,0.024642,0.024639,0.024646,32472.8,0.024639,0.024636,0.024642,48589.2,0.0247,0.024697,0.024704,48217.8,0.024893,0.024887,0.024896,6319.2,0.190012,0.189897,0.190127,6385.8,0.187974,0.187918,0.188051
19-2,243.96,31162.4,0.025674,0.025672,0.025677,31166.2,0.02567,0.025669,0.025672,46740.1,0.025675,0.025674,0.025679,46708.9,0.025693,0.025691,0.025695,6319.6,0.189941,0.189884,0.189996,6302.0,0.190504,0.190416,0.190622
19-1_ni,372.02,32682.5,0.02448,0.024478,0.024483,32694.6,0.02447,0.024469,0.02447,49043.3,0.02447,0.024468,0.02447,49028.0,0.024477,0.024476,0.024479,6320.8,0.189931,0.189848,0.18999,6412.5,0.187189,0.187134,0.187254
18-0-1,251.06,31938.7,0.025057,0.025048,0.025069,31946.3,0.025047,0.025042,0.025058,47921.2,0.025044,0.025041,0.025052,47923.0,0.025044,0.02504,0.025049,6324.1,0.189882,0.18975,0.19012,3531.8,0.33981,0.339775,0.339877
16-0-2_harp,195.23,14735.5,0.054322,0.054291,0.054338,15410.1,0.051922,0.051914,0.051927,18619.1,0.064461,0.06445,0.064471,18651.5,0.064355,0.064338,0.064367,79891504.8,3.1e-05,1.5e-05,4.6e-05,75121862.7,2.7e-05,1.6e-05,4.1e-05
17-1-2*_aria-10_ni,318.16,26711.3,0.029969,0.02995,0.03,26987.8,0.029729,0.029643,0.029777,28662.2,0.041928,0.041867,0.041976,28633.5,0.041938,0.041909,0.041968,6405.3,0.190147,0.187346,0.192743,6391.9,0.192733,0.187739,0.196223
19-3_ni,320.92,32614.5,0.024545,0.024529,0.024562,32626.5,0.024532,0.02452,0.024548,48941.2,0.02453,0.024519,0.024545,48861.9,0.024574,0.024559,0.024586,6317.5,0.190006,0.189948,0.190101,6397.4,0.187635,0.187575,0.187734
