,fmax,copy_rate,copy_avg_time,copy_min_time,copy_max_time,scale_rate,scale_avg_time,scale_min_time,scale_max_time,add_rate,add_avg_time,add_min_time,add_max_time,triad_rate,triad_avg_time,triad_min_time,triad_max_time,pciw_rate,pciw_avg_time,pciw_min_time,pciw_max_time,pcir_rate,pcir_avg_time,pcir_min_time,pcir_max_time
18-1-1_ni,412.37,32983.2,0.024261,0.024255,0.024264,32996.5,0.02425,0.024245,0.024256,49497.1,0.024248,0.024244,0.024253,49547.8,0.024222,0.024219,0.024226,6332.5,0.189576,0.1895,0.189629,5729.4,0.209528,0.209446,0.209608
19-3_pac-stratix-10_ni,358.8,29298.5,0.027335,0.027305,0.027351,28290.4,0.028316,0.028278,0.028329,42441.7,0.02831,0.028274,0.028335,42476.1,0.028337,0.028251,0.028608,8888.0,0.13669,0.135013,0.13791,7509.8,0.1617,0.159791,0.162755
19-2_ni,455.99,36021.2,0.022211,0.022209,0.022214,36032.8,0.022204,0.022202,0.022207,54052.1,0.022202,0.022201,0.022204,54052.1,0.022202,0.022201,0.022203,6306.4,0.190345,0.190284,0.19039,6405.6,0.187403,0.187335,0.187434
18-1-1,373.83,40860.2,0.020169,0.019579,0.020642,40874.7,0.020162,0.019572,0.020636,35479.8,0.033826,0.033822,0.033829,35479.8,0.033825,0.033822,0.033828,6330.0,0.189655,0.189573,0.189764,5568.3,0.215555,0.215504,0.215607
19-1,373.41,40885.1,0.020389,0.019567,0.020629,40904.1,0.019794,0.019558,0.020618,35491.6,0.033812,0.033811,0.033814,35492.6,0.033811,0.03381,0.033814,6314.6,0.190106,0.190035,0.190144,6302.5,0.190457,0.1904,0.190521
19-3,388.95,42976.1,0.019399,0.018615,0.019627,42985.4,0.018836,0.018611,0.019619,37301.8,0.032171,0.03217,0.032172,37300.7,0.032172,0.032171,0.032175,6322.2,0.189913,0.189807,0.190022,6392.3,0.18779,0.187726,0.187881
19-2,437.82,48332.6,0.016852,0.016552,0.017451,48350.0,0.017142,0.016546,0.017441,41960.9,0.028599,0.028598,0.028603,41961.2,0.028599,0.028598,0.028601,6323.4,0.189833,0.189771,0.189898,6392.1,0.187782,0.187732,0.187837
19-3_pac-stratix-10,371.88,40962.5,0.020043,0.01953,0.020667,40960.5,0.020162,0.019531,0.020667,35516.6,0.03382,0.033787,0.033849,35566.0,0.033774,0.03374,0.033826,8531.0,0.168558,0.140664,0.21415,7232.3,0.197845,0.165923,0.241042
19-1_ni,373.41,31998.7,0.025006,0.025001,0.025013,32002.6,0.025002,0.024998,0.025008,48008.1,0.024998,0.024996,0.025,47996.2,0.025006,0.025002,0.02501,6310.8,0.190226,0.190151,0.190282,6404.6,0.187401,0.187364,0.187461
19-4_pac-svm-stratix10_ni,326.05,19215.9,0.041721,0.041632,0.04184,20170.0,0.039782,0.039663,0.039941,14687.3,0.081804,0.081703,0.081869,14676.0,0.081875,0.081766,0.081967,419430400.0,4e-06,3e-06,4e-06,419430400.0,3e-06,3e-06,5e-06
19-4_pac-svm-stratix10,326.05,19178.2,0.041775,0.041714,0.041835,20125.7,0.039808,0.03975,0.039876,14647.6,0.081975,0.081925,0.082056,14648.6,0.081955,0.081919,0.081991,419430400.0,4e-06,3e-06,4e-06,419430400.0,3e-06,3e-06,4e-06
19-3_ni,408.32,32916.5,0.024309,0.024304,0.024314,32893.3,0.024327,0.024321,0.024333,49397.1,0.024301,0.024293,0.024304,49277.1,0.024355,0.024352,0.024358,6303.7,0.190427,0.190364,0.190514,6403.9,0.187432,0.187386,0.187501
